# 学生表：id|name|gender|phone|collegeCode|major|className|currentBuilding|currentRoom
# 字段以 | 分隔，一行一条记录；# 开头为注释行。
23011101|23011101|女||01|金属材料工程|230111|01B栋|101
23011102|23011102|女||01|金属材料工程|230111|01B栋|101
23011103|23011103|女||01|金属材料工程|230111|01B栋|101
23011104|23011104|女||01|金属材料工程|230111|01B栋|101
23011105|23011105|女||01|金属材料工程|230111|01B栋|102
23011106|23011106|女||01|金属材料工程|230111|01B栋|102
23011107|23011107|女||01|金属材料工程|230111|01B栋|102
23011108|23011108|女||01|金属材料工程|230111|01B栋|102
23011109|23011109|男||01|金属材料工程|230111|01A栋|101
23011110|23011110|男||01|金属材料工程|230111|01A栋|101
23011111|23011111|男||01|金属材料工程|230111|01A栋|101
23011112|23011112|男||01|金属材料工程|230111|01A栋|101
23011113|23011113|男||01|金属材料工程|230111|01A栋|102
23011114|23011114|男||01|金属材料工程|230111|01A栋|102
23011115|23011115|男||01|金属材料工程|230111|01A栋|102
23011116|23011116|男||01|金属材料工程|230111|01A栋|102
23011117|23011117|男||01|金属材料工程|230111|01A栋|103
23011118|23011118|男||01|金属材料工程|230111|01A栋|103
23011119|23011119|男||01|金属材料工程|230111|01A栋|103
23011120|23011120|男||01|金属材料工程|230111|01A栋|103
23011121|23011121|男||01|金属材料工程|230111|01A栋|104
23011122|23011122|男||01|金属材料工程|230111|01A栋|104
23011123|23011123|男||01|金属材料工程|230111|01A栋|104
23011124|23011124|男||01|金属材料工程|230111|01A栋|104
23011125|23011125|男||01|金属材料工程|230111|01A栋|105
23011126|23011126|男||01|金属材料工程|230111|01A栋|105
23011127|23011127|男||01|金属材料工程|230111|01A栋|105
23011128|23011128|男||01|金属材料工程|230111|01A栋|105
23011129|23011129|男||01|金属材料工程|230111|01A栋|106
23011130|23011130|男||01|金属材料工程|230111|01A栋|106
23011131|23011131|男||01|金属材料工程|230111|01A栋|106
23011132|23011132|男||01|金属材料工程|230111|01A栋|106
23011133|23011133|男||01|金属材料工程|230111|01A栋|107
23011134|23011134|男||01|金属材料工程|230111|01A栋|107
23011135|23011135|男||01|金属材料工程|230111|01A栋|107
23011136|23011136|男||01|金属材料工程|230111|01A栋|107
23011137|23011137|男||01|金属材料工程|230111|01A栋|108
23011138|23011138|男||01|金属材料工程|230111|01A栋|108
23011139|23011139|男||01|金属材料工程|230111|01A栋|108
23011140|23011140|男||01|金属材料工程|230111|01A栋|108
23011201|23011201|女||01|金属材料工程|230112|01B栋|103
23011202|23011202|女||01|金属材料工程|230112|01B栋|103
23011203|23011203|女||01|金属材料工程|230112|01B栋|103
23011204|23011204|女||01|金属材料工程|230112|01B栋|103
23011205|23011205|女||01|金属材料工程|230112|01B栋|104
23011206|23011206|女||01|金属材料工程|230112|01B栋|104
23011207|23011207|女||01|金属材料工程|230112|01B栋|104
23011208|23011208|女||01|金属材料工程|230112|01B栋|104
23011209|23011209|男||01|金属材料工程|230112|01A栋|109
23011210|23011210|男||01|金属材料工程|230112|01A栋|109
23011211|23011211|男||01|金属材料工程|230112|01A栋|109
23011212|23011212|男||01|金属材料工程|230112|01A栋|109
23011213|23011213|男||01|金属材料工程|230112|01A栋|110
23011214|23011214|男||01|金属材料工程|230112|01A栋|110
23011215|23011215|男||01|金属材料工程|230112|01A栋|110
23011216|23011216|男||01|金属材料工程|230112|01A栋|110
23011217|23011217|男||01|金属材料工程|230112|01A栋|111
23011218|23011218|男||01|金属材料工程|230112|01A栋|111
23011219|23011219|男||01|金属材料工程|230112|01A栋|111
23011220|23011220|男||01|金属材料工程|230112|01A栋|111
23011221|23011221|男||01|金属材料工程|230112|01A栋|112
23011222|23011222|男||01|金属材料工程|230112|01A栋|112
23011223|23011223|男||01|金属材料工程|230112|01A栋|112
23011224|23011224|男||01|金属材料工程|230112|01A栋|112
23011225|23011225|男||01|金属材料工程|230112|01A栋|113
23011226|23011226|男||01|金属材料工程|230112|01A栋|113
23011227|23011227|男||01|金属材料工程|230112|01A栋|113
23011228|23011228|男||01|金属材料工程|230112|01A栋|113
23011229|23011229|男||01|金属材料工程|230112|01A栋|114
23011230|23011230|男||01|金属材料工程|230112|01A栋|114
23011231|23011231|男||01|金属材料工程|230112|01A栋|114
23011232|23011232|男||01|金属材料工程|230112|01A栋|114
23011233|23011233|男||01|金属材料工程|230112|01A栋|115
23011234|23011234|男||01|金属材料工程|230112|01A栋|115
23011235|23011235|男||01|金属材料工程|230112|01A栋|115
23011236|23011236|男||01|金属材料工程|230112|01A栋|115
23011237|23011237|男||01|金属材料工程|230112|01A栋|116
23011238|23011238|男||01|金属材料工程|230112|01A栋|116
23011239|23011239|男||01|金属材料工程|230112|01A栋|116
23011240|23011240|男||01|金属材料工程|230112|01A栋|116
23011301|23011301|女||01|金属材料工程|230113|01B栋|105
23011302|23011302|女||01|金属材料工程|230113|01B栋|105
23011303|23011303|女||01|金属材料工程|230113|01B栋|105
23011304|23011304|女||01|金属材料工程|230113|01B栋|105
23011305|23011305|女||01|金属材料工程|230113|01B栋|106
23011306|23011306|女||01|金属材料工程|230113|01B栋|106
23011307|23011307|女||01|金属材料工程|230113|01B栋|106
23011308|23011308|女||01|金属材料工程|230113|01B栋|106
23011309|23011309|男||01|金属材料工程|230113|01A栋|117
23011310|23011310|男||01|金属材料工程|230113|01A栋|117
23011311|23011311|男||01|金属材料工程|230113|01A栋|117
23011312|23011312|男||01|金属材料工程|230113|01A栋|117
23011313|23011313|男||01|金属材料工程|230113|01A栋|118
23011314|23011314|男||01|金属材料工程|230113|01A栋|118
23011315|23011315|男||01|金属材料工程|230113|01A栋|118
23011316|23011316|男||01|金属材料工程|230113|01A栋|118
23011317|23011317|男||01|金属材料工程|230113|01A栋|119
23011318|23011318|男||01|金属材料工程|230113|01A栋|119
23011319|23011319|男||01|金属材料工程|230113|01A栋|119
23011320|23011320|男||01|金属材料工程|230113|01A栋|119
23011321|23011321|男||01|金属材料工程|230113|01A栋|120
23011322|23011322|男||01|金属材料工程|230113|01A栋|120
23011323|23011323|男||01|金属材料工程|230113|01A栋|120
23011324|23011324|男||01|金属材料工程|230113|01A栋|120
23011325|23011325|男||01|金属材料工程|230113|01A栋|121
23011326|23011326|男||01|金属材料工程|230113|01A栋|121
23011327|23011327|男||01|金属材料工程|230113|01A栋|121
23011328|23011328|男||01|金属材料工程|230113|01A栋|121
23011329|23011329|男||01|金属材料工程|230113|01A栋|122
23011330|23011330|男||01|金属材料工程|230113|01A栋|122
23011331|23011331|男||01|金属材料工程|230113|01A栋|122
23011332|23011332|男||01|金属材料工程|230113|01A栋|122
23011333|23011333|男||01|金属材料工程|230113|01A栋|123
23011334|23011334|男||01|金属材料工程|230113|01A栋|123
23011335|23011335|男||01|金属材料工程|230113|01A栋|123
23011336|23011336|男||01|金属材料工程|230113|01A栋|123
23011337|23011337|男||01|金属材料工程|230113|01A栋|124
23011338|23011338|男||01|金属材料工程|230113|01A栋|124
23011339|23011339|男||01|金属材料工程|230113|01A栋|124
23011340|23011340|男||01|金属材料工程|230113|01A栋|124
23011401|23011401|女||01|金属材料工程|230114|01B栋|107
23011402|23011402|女||01|金属材料工程|230114|01B栋|107
23011403|23011403|女||01|金属材料工程|230114|01B栋|107
23011404|23011404|女||01|金属材料工程|230114|01B栋|107
23011405|23011405|女||01|金属材料工程|230114|01B栋|108
23011406|23011406|女||01|金属材料工程|230114|01B栋|108
23011407|23011407|女||01|金属材料工程|230114|01B栋|108
23011408|23011408|女||01|金属材料工程|230114|01B栋|108
23011409|23011409|男||01|金属材料工程|230114|01A栋|125
23011410|23011410|男||01|金属材料工程|230114|01A栋|125
23011411|23011411|男||01|金属材料工程|230114|01A栋|125
23011412|23011412|男||01|金属材料工程|230114|01A栋|125
23011413|23011413|男||01|金属材料工程|230114|01A栋|126
23011414|23011414|男||01|金属材料工程|230114|01A栋|126
23011415|23011415|男||01|金属材料工程|230114|01A栋|126
23011416|23011416|男||01|金属材料工程|230114|01A栋|126
23011417|23011417|男||01|金属材料工程|230114|01A栋|127
23011418|23011418|男||01|金属材料工程|230114|01A栋|127
23011419|23011419|男||01|金属材料工程|230114|01A栋|127
23011420|23011420|男||01|金属材料工程|230114|01A栋|127
23011421|23011421|男||01|金属材料工程|230114|01A栋|128
23011422|23011422|男||01|金属材料工程|230114|01A栋|128
23011423|23011423|男||01|金属材料工程|230114|01A栋|128
23011424|23011424|男||01|金属材料工程|230114|01A栋|128
23011425|23011425|男||01|金属材料工程|230114|01A栋|129
23011426|23011426|男||01|金属材料工程|230114|01A栋|129
23011427|23011427|男||01|金属材料工程|230114|01A栋|129
23011428|23011428|男||01|金属材料工程|230114|01A栋|129
23011429|23011429|男||01|金属材料工程|230114|01A栋|130
23011430|23011430|男||01|金属材料工程|230114|01A栋|130
23011431|23011431|男||01|金属材料工程|230114|01A栋|130
23011432|23011432|男||01|金属材料工程|230114|01A栋|130
23011433|23011433|男||01|金属材料工程|230114|01A栋|131
23011434|23011434|男||01|金属材料工程|230114|01A栋|131
23011435|23011435|男||01|金属材料工程|230114|01A栋|131
23011436|23011436|男||01|金属材料工程|230114|01A栋|131
23011437|23011437|男||01|金属材料工程|230114|01A栋|132
23011438|23011438|男||01|金属材料工程|230114|01A栋|132
23011439|23011439|男||01|金属材料工程|230114|01A栋|132
23011440|23011440|男||01|金属材料工程|230114|01A栋|132
23012101|23012101|女||01|材料成型及控制工程|230121|01B栋|109
23012102|23012102|女||01|材料成型及控制工程|230121|01B栋|109
23012103|23012103|女||01|材料成型及控制工程|230121|01B栋|109
23012104|23012104|女||01|材料成型及控制工程|230121|01B栋|109
23012105|23012105|女||01|材料成型及控制工程|230121|01B栋|110
23012106|23012106|女||01|材料成型及控制工程|230121|01B栋|110
23012107|23012107|女||01|材料成型及控制工程|230121|01B栋|110
23012108|23012108|女||01|材料成型及控制工程|230121|01B栋|110
23012109|23012109|男||01|材料成型及控制工程|230121|01A栋|133
23012110|23012110|男||01|材料成型及控制工程|230121|01A栋|133
23012111|23012111|男||01|材料成型及控制工程|230121|01A栋|133
23012112|23012112|男||01|材料成型及控制工程|230121|01A栋|133
23012113|23012113|男||01|材料成型及控制工程|230121|01A栋|134
23012114|23012114|男||01|材料成型及控制工程|230121|01A栋|134
23012115|23012115|男||01|材料成型及控制工程|230121|01A栋|134
23012116|23012116|男||01|材料成型及控制工程|230121|01A栋|134
23012117|23012117|男||01|材料成型及控制工程|230121|01A栋|135
23012118|23012118|男||01|材料成型及控制工程|230121|01A栋|135
23012119|23012119|男||01|材料成型及控制工程|230121|01A栋|135
23012120|23012120|男||01|材料成型及控制工程|230121|01A栋|135
23012121|23012121|男||01|材料成型及控制工程|230121|01A栋|136
23012122|23012122|男||01|材料成型及控制工程|230121|01A栋|136
23012123|23012123|男||01|材料成型及控制工程|230121|01A栋|136
23012124|23012124|男||01|材料成型及控制工程|230121|01A栋|136
23012125|23012125|男||01|材料成型及控制工程|230121|01A栋|137
23012126|23012126|男||01|材料成型及控制工程|230121|01A栋|137
23012127|23012127|男||01|材料成型及控制工程|230121|01A栋|137
23012128|23012128|男||01|材料成型及控制工程|230121|01A栋|137
23012129|23012129|男||01|材料成型及控制工程|230121|01A栋|138
23012130|23012130|男||01|材料成型及控制工程|230121|01A栋|138
23012131|23012131|男||01|材料成型及控制工程|230121|01A栋|138
23012132|23012132|男||01|材料成型及控制工程|230121|01A栋|138
23012133|23012133|男||01|材料成型及控制工程|230121|01A栋|139
23012134|23012134|男||01|材料成型及控制工程|230121|01A栋|139
23012135|23012135|男||01|材料成型及控制工程|230121|01A栋|139
23012136|23012136|男||01|材料成型及控制工程|230121|01A栋|139
23012137|23012137|男||01|材料成型及控制工程|230121|01A栋|140
23012138|23012138|男||01|材料成型及控制工程|230121|01A栋|140
23012139|23012139|男||01|材料成型及控制工程|230121|01A栋|140
23012140|23012140|男||01|材料成型及控制工程|230121|01A栋|140
23012201|23012201|女||01|材料成型及控制工程|230122|01B栋|111
23012202|23012202|女||01|材料成型及控制工程|230122|01B栋|111
23012203|23012203|女||01|材料成型及控制工程|230122|01B栋|111
23012204|23012204|女||01|材料成型及控制工程|230122|01B栋|111
23012205|23012205|女||01|材料成型及控制工程|230122|01B栋|112
23012206|23012206|女||01|材料成型及控制工程|230122|01B栋|112
23012207|23012207|女||01|材料成型及控制工程|230122|01B栋|112
23012208|23012208|女||01|材料成型及控制工程|230122|01B栋|112
23012209|23012209|男||01|材料成型及控制工程|230122|01A栋|141
23012210|23012210|男||01|材料成型及控制工程|230122|01A栋|141
23012211|23012211|男||01|材料成型及控制工程|230122|01A栋|141
23012212|23012212|男||01|材料成型及控制工程|230122|01A栋|141
23012213|23012213|男||01|材料成型及控制工程|230122|01A栋|142
23012214|23012214|男||01|材料成型及控制工程|230122|01A栋|142
23012215|23012215|男||01|材料成型及控制工程|230122|01A栋|142
23012216|23012216|男||01|材料成型及控制工程|230122|01A栋|142
23012217|23012217|男||01|材料成型及控制工程|230122|01A栋|143
23012218|23012218|男||01|材料成型及控制工程|230122|01A栋|143
23012219|23012219|男||01|材料成型及控制工程|230122|01A栋|143
23012220|23012220|男||01|材料成型及控制工程|230122|01A栋|143
23012221|23012221|男||01|材料成型及控制工程|230122|01A栋|144
23012222|23012222|男||01|材料成型及控制工程|230122|01A栋|144
23012223|23012223|男||01|材料成型及控制工程|230122|01A栋|144
23012224|23012224|男||01|材料成型及控制工程|230122|01A栋|144
23012225|23012225|男||01|材料成型及控制工程|230122|01A栋|145
23012226|23012226|男||01|材料成型及控制工程|230122|01A栋|145
23012227|23012227|男||01|材料成型及控制工程|230122|01A栋|145
23012228|23012228|男||01|材料成型及控制工程|230122|01A栋|145
23012229|23012229|男||01|材料成型及控制工程|230122|01A栋|201
23012230|23012230|男||01|材料成型及控制工程|230122|01A栋|201
23012231|23012231|男||01|材料成型及控制工程|230122|01A栋|201
23012232|23012232|男||01|材料成型及控制工程|230122|01A栋|201
23012233|23012233|男||01|材料成型及控制工程|230122|01A栋|202
23012234|23012234|男||01|材料成型及控制工程|230122|01A栋|202
23012235|23012235|男||01|材料成型及控制工程|230122|01A栋|202
23012236|23012236|男||01|材料成型及控制工程|230122|01A栋|202
23012237|23012237|男||01|材料成型及控制工程|230122|01A栋|203
23012238|23012238|男||01|材料成型及控制工程|230122|01A栋|203
23012239|23012239|男||01|材料成型及控制工程|230122|01A栋|203
23012240|23012240|男||01|材料成型及控制工程|230122|01A栋|203
23012301|23012301|女||01|材料成型及控制工程|230123|01B栋|113
23012302|23012302|女||01|材料成型及控制工程|230123|01B栋|113
