# 辅导员表：id|name|gender|phone|collegeCode|jobTitle
# 字段以 | 分隔，一行一条记录；# 开头为注释行。
23011|23011|||01|辅导员
23012|23012|||01|辅导员
23013|23013|||01|辅导员
23014|23014|||01|辅导员
24011|24011|||01|辅导员
24012|24012|||01|辅导员
24013|24013|||01|辅导员
24014|24014|||01|辅导员
25011|25011|||01|辅导员
25012|25012|||01|辅导员
25013|25013|||01|辅导员
25014|25014|||01|辅导员
26011|26011|||01|辅导员
26012|26012|||01|辅导员
26013|26013|||01|辅导员
26014|26014|||01|辅导员
23021|23021|||02|辅导员
23022|23022|||02|辅导员
23023|23023|||02|辅导员
23024|23024|||02|辅导员
24021|24021|||02|辅导员
24022|24022|||02|辅导员
24023|24023|||02|辅导员
24024|24024|||02|辅导员
25021|25021|||02|辅导员
25022|25022|||02|辅导员
25023|25023|||02|辅导员
25024|25024|||02|辅导员
26021|26021|||02|辅导员
26022|26022|||02|辅导员
26023|26023|||02|辅导员
26024|26024|||02|辅导员
23031|23031|||03|辅导员
23032|23032|||03|辅导员
23033|23033|||03|辅导员
23034|23034|||03|辅导员
24031|24031|||03|辅导员
24032|24032|||03|辅导员
24033|24033|||03|辅导员
24034|24034|||03|辅导员
25031|25031|||03|辅导员
25032|25032|||03|辅导员
25033|25033|||03|辅导员
25034|25034|||03|辅导员
26031|26031|||03|辅导员
26032|26032|||03|辅导员
26033|26033|||03|辅导员
26034|26034|||03|辅导员
23041|23041|||04|辅导员
23042|23042|||04|辅导员
23043|23043|||04|辅导员
23044|23044|||04|辅导员
24041|24041|||04|辅导员
24042|24042|||04|辅导员
24043|24043|||04|辅导员
24044|24044|||04|辅导员
25041|25041|||04|辅导员
25042|25042|||04|辅导员
25043|25043|||04|辅导员
25044|25044|||04|辅导员
26041|26041|||04|辅导员
26042|26042|||04|辅导员
26043|26043|||04|辅导员
26044|26044|||04|辅导员
23051|23051|||05|辅导员
23052|23052|||05|辅导员
23053|23053|||05|辅导员
23054|23054|||05|辅导员
24051|24051|||05|辅导员
24052|24052|||05|辅导员
24053|24053|||05|辅导员
24054|24054|||05|辅导员
25051|25051|||05|辅导员
25052|25052|||05|辅导员
25053|25053|||05|辅导员
25054|25054|||05|辅导员
26051|26051|||05|辅导员
26052|26052|||05|辅导员
26053|26053|||05|辅导员
26054|26054|||05|辅导员
23061|23061|||06|辅导员
23062|23062|||06|辅导员
23063|23063|||06|辅导员
23064|23064|||06|辅导员
24061|24061|||06|辅导员
24062|24062|||06|辅导员
24063|24063|||06|辅导员
24064|24064|||06|辅导员
25061|25061|||06|辅导员
25062|25062|||06|辅导员
25063|25063|||06|辅导员
25064|25064|||06|辅导员
26061|26061|||06|辅导员
26062|26062|||06|辅导员
26063|26063|||06|辅导员
26064|26064|||06|辅导员
23071|23071|||07|辅导员
23072|23072|||07|辅导员
23073|23073|||07|辅导员
23074|23074|||07|辅导员
24071|24071|||07|辅导员
24072|24072|||07|辅导员
24073|24073|||07|辅导员
24074|24074|||07|辅导员
25071|25071|||07|辅导员
25072|25072|||07|辅导员
25073|25073|||07|辅导员
25074|25074|||07|辅导员
26071|26071|||07|辅导员
26072|26072|||07|辅导员
26073|26073|||07|辅导员
26074|26074|||07|辅导员
23081|23081|||08|辅导员
23082|23082|||08|辅导员
23083|23083|||08|辅导员
23084|23084|||08|辅导员
24081|24081|||08|辅导员
24082|24082|||08|辅导员
24083|24083|||08|辅导员
24084|24084|||08|辅导员
25081|25081|||08|辅导员
25082|25082|||08|辅导员
25083|25083|||08|辅导员
25084|25084|||08|辅导员
26081|26081|||08|辅导员
26082|26082|||08|辅导员
26083|26083|||08|辅导员
26084|26084|||08|辅导员
23091|23091|||09|辅导员
23092|23092|||09|辅导员
23093|23093|||09|辅导员
23094|23094|||09|辅导员
24091|24091|||09|辅导员
24092|24092|||09|辅导员
24093|24093|||09|辅导员
24094|24094|||09|辅导员
25091|25091|||09|辅导员
25092|25092|||09|辅导员
25093|25093|||09|辅导员
25094|25094|||09|辅导员
26091|26091|||09|辅导员
26092|26092|||09|辅导员
26093|26093|||09|辅导员
26094|26094|||09|辅导员
23101|23101|||10|辅导员
23102|23102|||10|辅导员
23103|23103|||10|辅导员
23104|23104|||10|辅导员
24101|24101|||10|辅导员
24102|24102|||10|辅导员
24103|24103|||10|辅导员
24104|24104|||10|辅导员
25101|25101|||10|辅导员
25102|25102|||10|辅导员
25103|25103|||10|辅导员
25104|25104|||10|辅导员
26101|26101|||10|辅导员
26102|26102|||10|辅导员
26103|26103|||10|辅导员
26104|26104|||10|辅导员
23111|23111|||11|辅导员
23112|23112|||11|辅导员
23113|23113|||11|辅导员
23114|23114|||11|辅导员
24111|24111|||11|辅导员
24112|24112|||11|辅导员
24113|24113|||11|辅导员
24114|24114|||11|辅导员
25111|25111|||11|辅导员
25112|25112|||11|辅导员
25113|25113|||11|辅导员
25114|25114|||11|辅导员
26111|26111|||11|辅导员
26112|26112|||11|辅导员
26113|26113|||11|辅导员
26114|26114|||11|辅导员
23121|23121|||12|辅导员
23122|23122|||12|辅导员
23123|23123|||12|辅导员
23124|23124|||12|辅导员
24121|24121|||12|辅导员
24122|24122|||12|辅导员
24123|24123|||12|辅导员
24124|24124|||12|辅导员
25121|25121|||12|辅导员
25122|25122|||12|辅导员
25123|25123|||12|辅导员
25124|25124|||12|辅导员
26121|26121|||12|辅导员
26122|26122|||12|辅导员
26123|26123|||12|辅导员
26124|26124|||12|辅导员
23131|23131|||13|辅导员
23132|23132|||13|辅导员
23133|23133|||13|辅导员
23134|23134|||13|辅导员
24131|24131|||13|辅导员
24132|24132|||13|辅导员
24133|24133|||13|辅导员
24134|24134|||13|辅导员
25131|25131|||13|辅导员
25132|25132|||13|辅导员
25133|25133|||13|辅导员
25134|25134|||13|辅导员
26131|26131|||13|辅导员
26132|26132|||13|辅导员
26133|26133|||13|辅导员
26134|26134|||13|辅导员
23141|23141|||14|辅导员
23142|23142|||14|辅导员
23143|23143|||14|辅导员
23144|23144|||14|辅导员
24141|24141|||14|辅导员
24142|24142|||14|辅导员
