# 辅导员表：id|name|gender|phone|collegeCode|jobTitle
# 字段以 | 分隔，一行一条记录；# 开头为注释行。
24011|24011|||01|辅导员
24012|24012|||01|辅导员
24013|24013|||01|辅导员
24014|24014|||01|辅导员
25011|25011|||01|辅导员
25012|25012|||01|辅导员
25013|25013|||01|辅导员
25014|25014|||01|辅导员
24021|24021|||02|辅导员
24022|24022|||02|辅导员
24023|24023|||02|辅导员
24024|24024|||02|辅导员
25021|25021|||02|辅导员
25022|25022|||02|辅导员
25023|25023|||02|辅导员
25024|25024|||02|辅导员
24031|24031|||03|辅导员
24032|24032|||03|辅导员
24033|24033|||03|辅导员
24034|24034|||03|辅导员
25031|25031|||03|辅导员
25032|25032|||03|辅导员
25033|25033|||03|辅导员
25034|25034|||03|辅导员
24041|24041|||04|辅导员
24042|24042|||04|辅导员
24043|24043|||04|辅导员
24044|24044|||04|辅导员
25041|25041|||04|辅导员
25042|25042|||04|辅导员
25043|25043|||04|辅导员
25044|25044|||04|辅导员
24051|24051|||05|辅导员
24052|24052|||05|辅导员
24053|24053|||05|辅导员
24054|24054|||05|辅导员
25051|25051|||05|辅导员
25052|25052|||05|辅导员
25053|25053|||05|辅导员
25054|25054|||05|辅导员
24061|24061|||06|辅导员
24062|24062|||06|辅导员
24063|24063|||06|辅导员
24064|24064|||06|辅导员
25061|25061|||06|辅导员
25062|25062|||06|辅导员
25063|25063|||06|辅导员
25064|25064|||06|辅导员
24071|24071|||07|辅导员
24072|24072|||07|辅导员
24073|24073|||07|辅导员
24074|24074|||07|辅导员
25071|25071|||07|辅导员
25072|25072|||07|辅导员
25073|25073|||07|辅导员
25074|25074|||07|辅导员
24081|24081|||08|辅导员
24082|24082|||08|辅导员
24083|24083|||08|辅导员
24084|24084|||08|辅导员
25081|25081|||08|辅导员
25082|25082|||08|辅导员
25083|25083|||08|辅导员
25084|25084|||08|辅导员
24091|24091|||09|辅导员
24092|24092|||09|辅导员
24093|24093|||09|辅导员
24094|24094|||09|辅导员
25091|25091|||09|辅导员
25092|25092|||09|辅导员
25093|25093|||09|辅导员
25094|25094|||09|辅导员
24101|24101|||10|辅导员
24102|24102|||10|辅导员
24103|24103|||10|辅导员
24104|24104|||10|辅导员
25101|25101|||10|辅导员
25102|25102|||10|辅导员
25103|25103|||10|辅导员
25104|25104|||10|辅导员
24111|24111|||11|辅导员
24112|24112|||11|辅导员
24113|24113|||11|辅导员
24114|24114|||11|辅导员
25111|25111|||11|辅导员
25112|25112|||11|辅导员
25113|25113|||11|辅导员
25114|25114|||11|辅导员
24121|24121|||12|辅导员
24122|24122|||12|辅导员
24123|24123|||12|辅导员
24124|24124|||12|辅导员
25121|25121|||12|辅导员
25122|25122|||12|辅导员
25123|25123|||12|辅导员
25124|25124|||12|辅导员
24131|24131|||13|辅导员
24132|24132|||13|辅导员
24133|24133|||13|辅导员
24134|24134|||13|辅导员
25131|25131|||13|辅导员
25132|25132|||13|辅导员
25133|25133|||13|辅导员
25134|25134|||13|辅导员
24141|24141|||14|辅导员
24142|24142|||14|辅导员
24143|24143|||14|辅导员
24144|24144|||14|辅导员
25141|25141|||14|辅导员
25142|25142|||14|辅导员
25143|25143|||14|辅导员
25144|25144|||14|辅导员
24151|24151|||15|辅导员
24152|24152|||15|辅导员
24153|24153|||15|辅导员
24154|24154|||15|辅导员
25151|25151|||15|辅导员
25152|25152|||15|辅导员
25153|25153|||15|辅导员
25154|25154|||15|辅导员
24161|24161|||16|辅导员
24162|24162|||16|辅导员
24163|24163|||16|辅导员
24164|24164|||16|辅导员
25161|25161|||16|辅导员
25162|25162|||16|辅导员
25163|25163|||16|辅导员
25164|25164|||16|辅导员
24201|24201|||20|辅导员
24202|24202|||20|辅导员
24203|24203|||20|辅导员
24204|24204|||20|辅导员
25201|25201|||20|辅导员
25202|25202|||20|辅导员
25203|25203|||20|辅导员
25204|25204|||20|辅导员
